Menu Item,Menu Group,Menu,Item Qty,Gross Amount,Net Amount,# Orders
Jack And Coke,Open Drink,Drinks,3,$36.00,$36.00,1
Vodka Soda,Open Drink,Drinks,3,$36.00,$36.00,1
Mistletow Martini,Open Drink,Drinks,2,$24.00,$24.00,1
Canada Dry,Open Drink,Drinks,1,$3.50,$3.50,1
Cinanmon,Open Drink,Drinks,1,$12.00,$12.00,1
Cinnamon Bay,Open Drink,Drinks,1,$12.00,$12.00,1
Cinnamon Velvet Martini,Open Drink,Drinks,1,$13.00,$13.00,1
Drunken,Open Drink,Drinks,1,$12.00,$12.00,1
Lychee Martini,Open Drink,Drinks,1,$12.00,$12.00,1
Mistletoe,Open Drink,Drinks,1,$13.05,$13.05,1
Mistletoe Martini,Open Drink,Drinks,1,$12.00,$12.00,1
Mist. martini,Open Drink,Drinks,1,$12.00,$12.00,1
Mocha,Open Drink,Drinks,1,$12.00,$12.00,1
Supreme Tan Tan Noodles,Noodles,Food,854,"$11,102.00","$10,325.00",783
Braised Beef Noodle Soup,Noodles,Food,281,"$4,355.50","$4,273.09",260
Shrimp & Pork Wonton Noodle Soup,Noodles,Food,260,"$3,900.00","$3,718.69",247
Shanghai Scallion Oil Noodle,Noodles,Food,237,"$2,133.00","$1,923.44",213
Pork Wonton Noodle Soup,Noodles,Food,181,"$2,353.00","$2,248.41",170
Pork Chop Noodle Soup,Noodles,Food,161,"$2,575.99","$2,264.60",156
Only Noodle,Noodles,Food,55,$275.00,$265.00,48
Taiwanese Spicy Cold Noodles,Noodles,Food,33,$363.00,$325.00,31
Taiwanese Cold Noodles,Noodles,Food,25,$262.50,$252.00,25
Supreme Tan Tan Noodles,Noodles,Food (3PDTX),28,$434.00,$434.00,28
Shanghai Scallion Oil Noodle,Noodles,Food (3PDTX),20,$220.00,$220.00,20
Pork Wonton Noodle Soup,Noodles,Food (3PDTX),9,$148.50,$148.50,10
Shrimp & Pork Wonton Noodle Soup,Noodles,Food (3PDTX),9,$166.50,$166.50,8
Braised Beef Noodle Soup,Noodles,Food (3PDTX),6,$105.00,$105.00,5
Pork Chop Noodle Soup,Noodles,Food (3PDTX),3,$52.50,$52.50,3
Coke,NA Beaverage,Drinks,193,$623.00,$611.80,145
Jasmine Green,NA Beaverage,Drinks,163,$774.25,$764.75,164
Sprite,NA Beaverage,Drinks,148,$490.00,$475.65,122
Diet Coke,NA Beaverage,Drinks,126,$406.00,$387.10,102
Peach Oolong,NA Beaverage,Drinks,84,$399.00,$394.25,86
Lychee Black,NA Beaverage,Drinks,68,$323.00,$320.45,68
Japanese Milk Tea SD,NA Beaverage,Drinks,61,$335.50,$324.50,59
Rose Tie Guan Yin,NA Beaverage,Drinks,45,$213.75,$203.85,44
Ginger Ale,NA Beaverage,Drinks,42,$147.00,$143.50,39
Taro Milk Tea,NA Beaverage,Drinks,40,$220.00,$220.00,38
Yuzu Mango Green Tea,NA Beaverage,Drinks,38,$209.00,$202.95,36
Iced Wintermelon Tea,NA Beaverage,Drinks,37,$186.00,$176.00,38
Jasmine Green Milk Tea,NA Beaverage,Drinks,37,$203.50,$198.00,34
Iced Wintermelon Tea w/milk,NA Beaverage,Drinks,15,$82.50,$66.00,14
Whole Milk,NA Beaverage,Drinks,11,$38.50,$38.50,8
Matcha Green Tea (32oz),NA Beaverage,Drinks,5,$45.00,$45.00,6
Sour Plum Juice SD,NA Beaverage,Drinks,5,$27.50,$27.50,4
Sapporo,Liquor & Beer,Drinks,74,$481.00,$481.00,52
Asahi,Liquor & Beer,Drinks,65,$422.50,$422.50,49
Single Shot,Liquor & Beer,Drinks,9,$72.00,$72.00,5
Double shot,Liquor & Beer,Drinks,2,$20.00,$20.00,1
Kids TanTan Noodle Set,Kid's Menu,Food,94,$939.06,$868.37,70
Kids Fried Rice Set,Kid's Menu,Food,63,$629.37,$599.40,55
Hot & Sour Soup,Soup,Food,189,"$1,417.50","$1,386.07",183
Stir Fried String Beans,Greens (TX),Food,442,"$6,851.00","$6,699.35",431
Stir Fried Seasonal Greens with Garlic,Greens (TX),Food,241,"$2,892.00","$2,841.08",238
Bean Sprout Stir-Fry w/Mushroom,Greens (TX),Food,33,$330.00,$330.00,33
Bean Sprout Stir-Fry w/Shrimp,Greens (TX),Food,7,$91.00,$91.00,7
Stir Fried Seasonal Greens with Garlic,Greens,Food (3PDTX),13,$182.00,$182.00,13
Stir Fried String Beans,Greens,Food (3PDTX),12,$210.00,$210.00,12
Bean Sprout Stir-Fry w/Mushroom,Greens,Food (3PDTX),3,$39.00,$39.00,3
Bean Sprout Stir-Fry w/Shrimp,Greens,Food (3PDTX),2,$33.00,$33.00,2
Pork Chop Fried Rice,Fried Rice,Food,"1,025","$17,427.01","$16,462.01",906
Shrimp Fried Rice,Fried Rice,Food,397,"$5,955.00","$5,569.40",372
Wild Mushroom Fried Rice,Fried Rice,Food,161,"$2,576.00","$2,520.00",156
Steamed Rice,Fried Rice,Food,138,$414.00,$404.53,116
Black Truffle & Vegetable Fried Rice,Fried Rice,Food,118,"$2,183.00","$2,070.40",113
Pork Chop Fried Rice,Fried Rice,Food (3PDTX),57,"$1,168.50","$1,168.50",49
Black Truffle & Vegetable Fried Rice,Fried Rice,Food (3PDTX),16,$352.00,$352.00,15
Steamed Rice,Fried Rice,Food (3PDTX),11,$33.00,$33.00,8
Shrimp Fried Rice,Fried Rice,Food (3PDTX),8,$156.00,$156.00,8
Drunken Chilled Chicken,Drunken Chicken,Food,79,$948.00,$899.99,78
Charcoal gold lava custard bun w/ gold flakes,Desserts,Food,336,"$3,360.00","$3,217.92",309
Black Sesame Glutinous Rice balls (Peanut),Desserts,Food,19,$142.50,$131.25,18
Black Sesame Glutinous Rice balls (Matcha),Desserts,Food,16,$120.00,$97.50,17
"Black Sesame Glutinous Rice balls (2 Peanut, 1 Matcha)",Desserts,Food,15,$112.50,$105.00,14
"Black Sesame Glutinous Rice balls (2 Matcha, 1 Peanut)",Desserts,Food,13,$97.50,$90.00,14
Prickly Pear Margarita,Cocktails,Drinks,68,$816.00,$816.00,61
Old Fashioned,Cocktails,Drinks,65,$780.00,$756.00,53
Lavender Honey Bees Knees,Cocktails,Drinks,59,$708.00,$708.00,54
Huckleberry Lemondrop,Cocktails,Drinks,54,$648.00,$648.00,42
Cherry Lime Punch,Cocktails,Drinks,47,$564.00,$552.00,48
Black Berry Mojito,Cocktails,Drinks,46,$552.00,$534.00,43
Strawberry Basil Smash,Cocktails,Drinks,45,$540.00,$534.10,41
Spicy Margarita,Cocktails,Drinks,44,$528.00,$528.00,33
Moscow Mule,Cocktails,Drinks,35,$420.00,$406.80,31
Ginger Pear Daiquiri,Cocktails,Drinks,14,$168.00,$166.80,13
Sunshine Lemonade,Botrista,Drinks,289,"$1,604.50","$1,494.00",225
Frozen Lemonade,Botrista,Drinks,161,$900.50,$877.50,134
Tropical Iced Green Tea,Botrista,Drinks,148,$828.00,$784.20,122
Tropical Iced Black Tea,Botrista,Drinks,84,$464.00,$439.25,76
Spicy Cucumber Salad,Appetizers,Food,699,"$5,242.50","$5,183.93",653
Beef Roll,Appetizers,Food,203,"$2,233.00","$2,165.83",195
Teochew Braised Pork Belly,Appetizers,Food,181,"$1,538.50","$1,512.99",173
Spicy Beef Bun,Appetizers,Food,125,"$1,125.00","$1,122.95",114
Chinese Braised Beef Shank,Appetizers,Food,104,$884.00,$840.65,104
Truffle Mushroom Roll,Appetizers,Food,94,"$1,034.00","$1,012.00",94
Spicy Pork Bun,Appetizers,Food,94,$846.00,$794.78,82
Teochew Braised Chewy Tofu,Appetizers,Food,93,$697.50,$688.47,88
Chinese Braised Beef & Pork Platter,Appetizers,Food,56,"$1,232.00","$1,210.00",55
Pork Roll,Appetizers,Food,29,$319.00,$267.30,27
Black Pepper Beef,Appetizers,Food,6,$120.00,$118.83,6
Spicy Cucumber Salad,Appetizers,Food (3PDTX),26,$260.00,$260.00,26
Spicy Beef Bun,Appetizers,Food (3PDTX),19,$218.50,$218.50,17
Beef Roll,Appetizers,Food (3PDTX),18,$234.00,$234.00,16
Truffle Mushroom Roll,Appetizers,Food (3PDTX),6,$78.00,$78.00,6
Teochew Braised Pork Belly,Appetizers,Food (3PDTX),5,$55.00,$55.00,5
Pork Roll,Appetizers,Food (3PDTX),4,$52.00,$52.00,4
Supreme Pork Xiao Long Bao (8),Xiao Long Bao,Food,"1,663","$21,619.00","$21,156.57","1,389"
Szechuan Spicy Xiao Long Bao (8),Xiao Long Bao,Food,795,"$10,335.00","$10,153.14",719
Crab & Pork Xiao Long Bao (8),Xiao Long Bao,Food,416,"$6,240.00","$6,167.57",399
Shrimp & Pork Xiao Long Bao (8),Xiao Long Bao,Food,378,"$5,292.00","$5,100.89",352
Black Truffle & Chicken Xiao Long Bao (6),Xiao Long Bao,Food,361,"$6,859.00","$6,788.32",339
Chicken Xiao Long Bao (8),Xiao Long Bao,Food,336,"$4,032.00","$3,959.22",297
Steamed Vegetable Dumplings (8),Xiao Long Bao,Food,124,"$1,488.00","$1,437.24",120
Supreme Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),234,"$3,276.00","$3,276.00",129
Chicken Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),110,"$1,320.00","$1,320.00",62
Szechuan Spicy Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),106,"$1,484.00","$1,484.00",61
Crab & Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),15,$247.50,$247.50,15
Shrimp & Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),12,$186.00,$186.00,11
Black Truffle & Chicken Xiao Long Bao (6),Xiao Long Bao,Food (3PDTX),11,$225.50,$225.50,11
Steamed Vegetable Dumplings (8),Xiao Long Bao,Food (3PDTX),7,$115.50,$115.50,7
Woodbridge,Wine,Drinks,21,$189.00,$189.00,13
Bonanza - Glass,Wine,Drinks,18,$180.00,$180.00,13
Morning Mimosa,Wine,Drinks,7,$56.00,$20.95,3
14 Hands Hot To Trot - Glass,Wine,Drinks,6,$54.00,$54.00,6
Mionetto,Wine,Drinks,6,$78.00,$78.00,4
Chocolate Xiao Long Bao (6),Sweet Xiao Long Bao,Food,185,"$1,850.00","$1,745.68",179
Sweet Taro Xiao Long Bao (6),Sweet Xiao Long Bao,Food,97,$873.00,$854.99,95
Sweet Red Bean Xiao Long Bao (6),Sweet Xiao Long Bao,Food,47,$423.00,$413.98,47
Sweet Taro Xiao Long Bao (6),Sweet Xiao Long Bao,Food (3PDTX),26,$260.00,$260.00,24
Sweet Red Bean Xiao Long Bao (6),Sweet Xiao Long Bao,Food (3PDTX),8,$80.00,$80.00,7
Supreme Spicy Pork Wontons,Spicy Wontons,Food,734,"$6,239.00","$6,071.15",684
Shrimp & Pork Wontons,Spicy Wontons,Food,371,"$3,524.50","$3,445.64",350
Supreme Spicy Pork Wontons,Spicy Wontons,Food (3PDTX),41,$512.50,$512.50,39
Shrimp & Pork Wontons,Spicy Wontons,Food (3PDTX),11,$143.00,$143.00,10
Steamed Chicken Soup,Soup,Food,140,"$1,470.00","$1,454.89",129
Steamed Beef Soup,Soup,Food,30,$345.00,$342.65,31
Hot & Sour Soup,Soup,Food (3PDTX),18,$180.00,$180.00,17
Steamed Beef Soup,Soup,Food (3PDTX),7,$87.50,$87.50,7
Steamed Chicken Soup,Soup,Food (3PDTX),4,$50.00,$50.00,4
Tanrei Junmai,Sake,Drinks,30,$255.00,$255.00,23
Gekkeikan Nigori,Sake,Drinks,14,$224.00,$224.00,13
Gekkeikan Haiku,Sake,Drinks,11,$198.00,$198.00,10
Kizakura Yuzu Sparkling,Sake,Drinks,1,$12.00,$12.00,1
Fried Pork Chop,Pork Chop,Food,183,"$2,013.00","$1,969.21",173
Mini Pan-Fried Dumplings (8),Pan-Fried,Food,"1,414","$21,210.00","$21,002.33","1,267"
Pan-Fried Leek Pie (3),Pan-Fried,Food,130,"$1,235.00","$1,101.57",127
Mini Pan-Fried Dumplings (8),Pan-Fried,Food (3PDTX),37,$666.00,$666.00,36
Pan-Fried Leek Pie (3),Pan-Fried,Food (3PDTX),9,$108.00,$108.00,8
Soda,Open Drink,Drinks,6,$21.00,$14.00,3
Strawberry Fields,Open Drink,Drinks,5,$60.00,$60.00,4
Apple Juice,Open Drink,Drinks,4,$11.00,$11.00,3
Drunken Mocha,Open Drink,Drinks,4,$49.05,$49.05,4
Orange Juice,Open Drink,Drinks,3,$3.00,$3.00,3
Cinnamon Velvet Martini,Open Drink,Drinks,2,$24.00,$24.00,2
Lychee Martini,Open Drink,Drinks,2,$24.00,$24.00,1
1800 Upcharge,Open Drink,Drinks,1,$2.00,$2.00,1
Buffalo Old Fashioned,Open Drink,Drinks,1,$14.00,$14.00,1
Corkage Fee,Open Drink,Drinks,1,$10.00,$10.00,1
Ginger Mint,Open Drink,Drinks,1,$12.00,$12.00,1
Ginger Mint Medley,Open Drink,Drinks,1,$12.00,$12.00,1
Lychee,Open Drink,Drinks,1,$1.00,$1.00,1
Mistletoe,Open Drink,Drinks,1,$12.00,$12.00,1
Mistletoe Martini,Open Drink,Drinks,1,$12.00,$12.00,1
Oarange Juice,Open Drink,Drinks,1,$4.00,$4.00,1
Spring Lily,Open Drink,Drinks,1,$12.00,$12.00,1
Supreme Tan Tan Noodles,Noodles,Food,739,"$9,607.00","$9,061.58",689
Shanghai Scallion Oil Noodle,Noodles,Food,228,"$2,052.00","$1,855.62",206
Shrimp & Pork Wonton Noodle Soup,Noodles,Food,209,"$3,135.00","$3,025.24",196
Braised Beef Noodle Soup,Noodles,Food,203,"$3,146.50","$3,124.34",180
Pork Wonton Noodle Soup,Noodles,Food,158,"$2,054.00","$1,895.90",149
Pork Chop Noodle Soup,Noodles,Food,135,"$2,160.00","$2,001.98",125
Only Noodle,Noodles,Food,40,$200.00,$194.50,38
Taiwanese Spicy Cold Noodles,Noodles,Food,24,$264.00,$253.00,24
Taiwanese Cold Noodles,Noodles,Food,18,$189.00,$187.95,17
Supreme Tan Tan Noodles,Noodles,Food (3PDTX),34,$527.00,$527.00,33
Shanghai Scallion Oil Noodle,Noodles,Food (3PDTX),12,$132.00,$132.00,12
Braised Beef Noodle Soup,Noodles,Food (3PDTX),7,$122.50,$122.50,7
Shrimp & Pork Wonton Noodle Soup,Noodles,Food (3PDTX),5,$92.50,$92.50,4
Pork Wonton Noodle Soup,Noodles,Food (3PDTX),4,$66.00,$66.00,4
Pork Chop Noodle Soup,Noodles,Food (3PDTX),3,$52.50,$52.50,3
Coke,NA Beaverage,Drinks,201,$591.50,$573.65,156
Jasmine Green,NA Beaverage,Drinks,160,$760.00,$752.02,162
Diet Coke,NA Beaverage,Drinks,159,$472.50,$472.15,126
Sprite,NA Beaverage,Drinks,127,$360.50,$356.30,102
Peach Oolong,NA Beaverage,Drinks,115,$546.25,$545.94,115
Lychee Black,NA Beaverage,Drinks,68,$323.00,$317.22,68
Japanese Milk Tea SD,NA Beaverage,Drinks,58,$320.00,$287.00,53
Taro Milk Tea,NA Beaverage,Drinks,57,$317.50,$283.95,52
Ginger Ale,NA Beaverage,Drinks,55,$192.50,$192.50,49
Iced Wintermelon Tea,NA Beaverage,Drinks,54,$270.00,$250.00,49
Yuzu Mango Green Tea,NA Beaverage,Drinks,30,$165.00,$143.00,31
Rose Tie Guan Yin,NA Beaverage,Drinks,28,$133.01,$132.68,28
Jasmine Green Milk Tea,NA Beaverage,Drinks,28,$154.00,$134.50,26
Iced Wintermelon Tea w/milk,NA Beaverage,Drinks,13,$71.50,$66.00,12
Matcha Green Tea (32oz),NA Beaverage,Drinks,7,$63.00,$63.00,7
Whole Milk,NA Beaverage,Drinks,7,$24.50,$24.50,6
Sour Plum Juice SD,NA Beaverage,Drinks,3,$16.50,$16.50,4
Sapporo,Liquor & Beer,Drinks,70,$455.00,$442.00,48
Asahi,Liquor & Beer,Drinks,63,$409.50,$409.50,45
Single Shot,Liquor & Beer,Drinks,20,$160.00,$160.00,10
Double shot,Liquor & Beer,Drinks,13,$130.00,$130.00,12
Kids TanTan Noodle Set,Kid's Menu,Food,56,$559.44,$549.45,56
Kids Fried Rice Set,Kid's Menu,Food,38,$379.62,$359.64,37
Hot & Sour Soup,Soup,Food,147,"$1,102.50","$1,033.65",144
Stir Fried String Beans,Greens,Food,409,"$6,339.50","$5,957.77",394
Stir Fried Seasonal Greens with Garlic,Greens,Food,200,"$2,400.00","$2,372.75",197
Bean Sprout Stir-Fry w/Mushroom,Greens,Food,28,$280.00,$267.14,28
Bean Sprout Stir-Fry w/Shrimp,Greens,Food,14,$182.00,$155.97,13
Stir Fried Seasonal Greens with Garlic,Greens,Food (3PDTX),22,$308.00,$308.00,22
Stir Fried String Beans,Greens,Food (3PDTX),7,$122.50,$122.50,7
Bean Sprout Stir-Fry w/Mushroom,Greens,Food (3PDTX),3,$39.00,$39.00,3
Bean Sprout Stir-Fry w/Shrimp,Greens,Food (3PDTX),1,$16.50,$16.50,1
Pork Chop Fried Rice,Fried Rice,Food,977,"$16,609.00","$15,648.61",867
Shrimp Fried Rice,Fried Rice,Food,350,"$5,250.00","$4,868.66",325
Steamed Rice,Fried Rice,Food,152,$456.00,$425.70,107
Wild Mushroom Fried Rice,Fried Rice,Food,144,"$2,304.00","$2,232.85",142
Black Truffle & Vegetable Fried Rice,Fried Rice,Food,102,"$1,887.00","$1,842.16",98
Pork Chop Fried Rice,Fried Rice,Food (3PDTX),60,"$1,230.00","$1,230.00",55
Shrimp Fried Rice,Fried Rice,Food (3PDTX),16,$312.00,$312.00,16
Steamed Rice,Fried Rice,Food (3PDTX),15,$45.00,$45.00,12
Black Truffle & Vegetable Fried Rice,Fried Rice,Food (3PDTX),9,$198.00,$198.00,9
Wild Mushroom Fried Rice,Fried Rice,Food (3PDTX),6,$132.00,$132.00,6
Drunken Chilled Chicken,Appetizers,Food,64,$768.00,$756.00,63
Charcoal gold lava custard bun w/ gold flakes,Desserts,Food,320,"$3,200.00","$3,120.96",284
"Black Sesame Glutinous Rice balls (2 Peanut, 1 Matcha)",Desserts,Food,17,$127.50,$127.50,17
Black Sesame Glutinous Rice balls (Peanut),Desserts,Food,14,$105.00,$105.00,15
"Black Sesame Glutinous Rice balls (2 Matcha, 1 Peanut)",Desserts,Food,9,$67.50,$60.00,10
Black Sesame Glutinous Rice balls (Matcha),Desserts,Food,7,$52.50,$52.04,7
Prickly Pear Margarita,Cocktails,Drinks,71,$852.00,$852.00,54
Old Fashioned,Cocktails,Drinks,67,$804.00,$802.41,52
Lavender Honey Bees Knees,Cocktails,Drinks,60,$720.00,$720.00,54
Huckleberry Lemondrop,Cocktails,Drinks,52,$624.00,$624.00,43
Strawberry Basil Smash,Cocktails,Drinks,50,$600.00,$600.00,49
Black Berry Mojito,Cocktails,Drinks,47,$564.00,$564.00,40
Spicy Margarita,Cocktails,Drinks,45,$540.00,$540.00,38
Cherry Lime Punch,Cocktails,Drinks,39,$468.00,$468.00,33
Moscow Mule,Cocktails,Drinks,36,$432.00,$432.00,26
Ginger Pear Daiquiri,Cocktails,Drinks,15,$180.00,$180.00,14
Strawberry Lemon Drop,Cocktails,Drinks,4,$48.00,$48.00,3
Sunshine Lemonade,Botrista,Drinks,259,"$1,439.50","$1,353.64",200
Frozen Lemonade,Botrista,Drinks,155,$866.50,$783.45,127
Tropical Iced Green Tea,Botrista,Drinks,155,$865.50,$776.00,132
Tropical Iced Black Tea,Botrista,Drinks,82,$454.00,$437.50,70
Spicy Cucumber Salad,Appetizers,Food,685,"$5,137.50","$5,075.63",642
Beef Roll,Appetizers,Food,142,"$1,562.00","$1,536.54",138
Teochew Braised Pork Belly,Appetizers,Food,132,"$1,122.00","$1,113.50",129
Spicy Beef Bun,Appetizers,Food,109,$981.00,$952.50,103
Truffle Mushroom Roll,Appetizers,Food,104,"$1,144.00","$1,140.61",102
Teochew Braised Chewy Tofu,Appetizers,Food,74,$555.00,$547.50,70
Chinese Braised Beef Shank,Appetizers,Food,66,$561.00,$552.50,64
Spicy Pork Bun,Appetizers,Food,62,$558.00,$522.00,61
Chinese Braised Beef & Pork Platter,Appetizers,Food,48,"$1,056.00","$1,051.23",48
Pork Roll,Appetizers,Food,34,$374.00,$308.00,35
Black Pepper Beef,Appetizers,Food,17,$340.00,$300.00,17
Black Pepper Beef Rice,Appetizers,Food,2,$44.00,$22.00,2
Spicy Cucumber Salad,Appetizers,Food (3PDTX),34,$340.00,$340.00,31
Truffle Mushroom Roll,Appetizers,Food (3PDTX),15,$195.00,$195.00,14
Spicy Beef Bun,Appetizers,Food (3PDTX),13,$149.50,$149.50,13
Beef Roll,Appetizers,Food (3PDTX),12,$156.00,$156.00,12
Spicy Pork Bun,Appetizers,Food (3PDTX),5,$57.50,$57.50,4
Teochew Braised Chewy Tofu,Appetizers,Food (3PDTX),3,$30.00,$30.00,3
Pork Roll,Appetizers,Food (3PDTX),3,$39.00,$39.00,3
Teochew Braised Pork Belly,Appetizers,Food (3PDTX),2,$22.00,$22.00,2
