Menu Item,Menu Group,Menu,Item Qty,Gross Amount,Net Amount,# Orders
Spicy Margarita,Cocktails,Drinks,45,$540.00,$540.00,38
Cherry Lime Punch,Cocktails,Drinks,39,$468.00,$468.00,33
Moscow Mule,Cocktails,Drinks,36,$432.00,$432.00,26
Ginger Pear Daiquiri,Cocktails,Drinks,15,$180.00,$180.00,14
Strawberry Lemon Drop,Cocktails,Drinks,4,$48.00,$48.00,3
Sunshine Lemonade,Botrista,Drinks,259,"$1,439.50","$1,353.64",200
Frozen Lemonade,Botrista,Drinks,155,$866.50,$783.45,127
Tropical Iced Green Tea,Botrista,Drinks,155,$865.50,$776.00,132
Tropical Iced Black Tea,Botrista,Drinks,82,$454.00,$437.50,70
Spicy Cucumber Salad,Appetizers,Food,685,"$5,137.50","$5,075.63",642
Beef Roll,Appetizers,Food,142,"$1,562.00","$1,536.54",138
Teochew Braised Pork Belly,Appetizers,Food,132,"$1,122.00","$1,113.50",129
Spicy Beef Bun,Appetizers,Food,109,$981.00,$952.50,103
Truffle Mushroom Roll,Appetizers,Food,104,"$1,144.00","$1,140.61",102
Teochew Braised Chewy Tofu,Appetizers,Food,74,$555.00,$547.50,70
Chinese Braised Beef Shank,Appetizers,Food,66,$561.00,$552.50,64
Spicy Pork Bun,Appetizers,Food,62,$558.00,$522.00,61
Chinese Braised Beef & Pork Platter,Appetizers,Food,48,"$1,056.00","$1,051.23",48
Pork Roll,Appetizers,Food,34,$374.00,$308.00,35
Black Pepper Beef,Appetizers,Food,17,$340.00,$300.00,17
Black Pepper Beef Rice,Appetizers,Food,2,$44.00,$22.00,2
Spicy Cucumber Salad,Appetizers,Food (3PDTX),34,$340.00,$340.00,31
Truffle Mushroom Roll,Appetizers,Food (3PDTX),15,$195.00,$195.00,14
Spicy Beef Bun,Appetizers,Food (3PDTX),13,$149.50,$149.50,13
Beef Roll,Appetizers,Food (3PDTX),12,$156.00,$156.00,12
Spicy Pork Bun,Appetizers,Food (3PDTX),5,$57.50,$57.50,4
Teochew Braised Chewy Tofu,Appetizers,Food (3PDTX),3,$30.00,$30.00,3
Pork Roll,Appetizers,Food (3PDTX),3,$39.00,$39.00,3
Teochew Braised Pork Belly,Appetizers,Food (3PDTX),2,$22.00,$22.00,2
